BLOQUE;Módulo del programa;Tipo de oferente;Nombre de la institución oferente;Imagen del oferente;Datos de contacto;RECURSOS IDENTIFICADOS;Propósito;Modalidad;Tipo;Aportes al programa;Fuentes de financiación;Enlace;;;Observ.;Mensajes;Atributos;Ejes;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Identificación y análisis de evidencia sobre buenas prácticas y lecciones aprendidas en medios e instrumentos;Externo;"Instituto de Estudios Superiores de la Ciudad de México Rosario Castellanos
Dirección Ejecutiva del Campus Virtual
Subdirección de Educación Continua";;"País: México. 
Dirección: Avenida 506 San Juan de Aragón II Sección, C.P. 07969, Alcaldía Gustavo A. Madero, Ciudad de México. 
Teléfono: no indica. 
Correo electrónico: atencion.ciudadanarc@sectei.cdmx.gob.mx; Dirección General del Instituto de Estudios Superiores ""Rosario Castellanos"". Titular. Alma Herrera Márquez. Correo: alma.herrera@educacion.cdmx.gob.mx; Responsable de Atención Ciudadana, Lic. Lucy Adriana Ávila Juárez, Correo electrónico: lucy.avila@sectei.cdmx.gob.mx";Promoción de Bioeconomía y Desarrollo Productivo;Complementar capacidades de funcionarios, académicos, técnicos extensionistas y estudiantes sobre Bioeconomía y Desarrollo Productivo, para que estos fomenten propuestas de bionegocios que den solución a problemas socioeconómicos, sustentadas en el potencial biológico, el uso intensivo del conocimiento, la convergencia y aplicación de diversas innovaciones tecnológicas y el marco normativo e institucional de un territorio determinado.;Virtual;Diplomado;Móduos 1 y 2. Bases conceptuales de la bioeconomía y políticas públicas para su promoción.;A finales del 2020 se inició el diseño de este diplomado con el Instituto de Estudios Superiores Rosario Castellanos (IRC), la Gerencia de Bioeconomía de oficinas centrales del IICA, el Especialista en Bioeconomía del IICA-México y el apoyo de la Red INNOVAGRO, al que posteriormente se sumó la Universidad Autónoma Chapingo (UACH). ;https://www.rcastellanos.cdmx.gob.mx/storage/app/media/PlanesEstudiosActualizados/plan-de-estudios-de-la-licenciatura-en-economia-y-desarrollo-sostenible-1.pdf;;;"El link corresponde a la lic. en desarrollo sostenible, la cual tiene un par de cursos de bioeconomía y uno sosbre SAA.
El diplomado no se ha diseñado, está como propuesta.";3. La transformación requerida de los sistemas alimentarios debe fundarse en ciencia.; La producción de alimentos debe ser ambientalmente sustentables y no contribuir al calentamiento global.;1. Ciencia, tecnología e innovación;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Una salud (suelos, animales, alimentación y nutrición humana);Externo;Instituto de Nutrición de Centroamérica y Panamá - apoyo a SICA;;"País: Guatemala.  
Dirección: Calzada Roosevelt 6-25 zona 11, Apartado Postal 1188, Guatemala, Centroamérica. 
Teléfono: PBX: (502) 24723762 ó 24715655; Fax:(502) 24736529.
Correo electrónico: e-mail@incap.int  ";Diplomado a distancia en Seguridad Alimentaria y Nutricional;El propósito del Diplomado sobre Seguridad Alimentaria y Nutricional –SAN- es la actualización, formación y desarrollo de recurso humano centroamericano que apoye a los países y al Instituto en el logro de su misión, que es la promoción de la SAN, a través del apoyo práctico de las tecnologías informáticas y audiovisuales más recientes, para hacer llegar a los profesionales vinculados con programas de desarrollo social, los fundamentos de la SAN, de modo que les permita identificar los espacios para abordaje de la SAN por parte de los programas desarrollados en sus instituciones. ;Virtual;Diplomado;Módulos 1, 4 y 5. Marco conceptual de la seguridad alimentaria y nutricional, La Utilizacion Biologica de Los Alimentos, Comunicación para el cambio. Los otros módulos podrían aportar tras actualizar sus datos. ;INCAP, con apoyo de SICA. ;http://www.incap.int/index.php/es/  ;;;;; Considerar el impacto, positivo y negativo, de ciertos atributos de los alimentos sobre la salud humana.;1. Ciencia, tecnología e innovación;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"

BLOQUE 1. Entendiendo el funcionamiento de los SAA de ALC y el mundo";Externo;Instituto de Nutrición de Centroamérica y Panamá - apoyo a SICA;;"País: Guatemala.  
Dirección: Calzada Roosevelt 6-25 zona 11, Apartado Postal 1188, Guatemala, Centroamérica. 
Teléfono: PBX: (502) 24723762 ó 24715655; Fax:(502) 24736529.
Correo electrónico: e-mail@incap.int  ";Libro Seguridad Alimentaria y Nutricional, Derecho a la Alimentación y Políticas Públicas contra el Hambre en América Central;El libro titulado Seguridad alimentaria. Derecho a la alimentación y políticas públicas contra el hambre en América Central entrega un enfoque que aporta a la construcción de una nueva mirada multidisciplinaria a los principales problemas y temáticas que deberían considerar los gobiernos, dirigentes sociales y políticos, académicos, agencias internacionales, actores sociales y profesionales con el derecho a la alimentación y su vinculación con la seguridad alimentaria y nutricional de los países de la región. El libro compila las clases magistrales del Diplomado Internacional Derecho a la Alimentación y Políticas Públicas contra el Hambre en América Central, realizado en Guatemala en el 2013;Físico;Libro;Del capítulo III al capítulo XI hay información útil sobre formulación de políticas públicas contra el hambre en los SA con un enfoque de inclusión de género y etnia. ;"Fundación Henry Dunant América Latina con el apoyo del Fondo Chile contra el Hambre y la Pobreza, una iniciativa gubernamental mediada por la Agencia de Cooperación Internacional de Chile (AGCI) y el Programa de Naciones Unidas para el Desarrollo (PNUD); que esta mañana fue presentada oficialmente en dependencias de la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO). ";http://www.incap.int/index.php/es/  ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;Bolsa de Cereales de Argentina ;;"País: Argentina.  
Dirección: Av. Corrientes 123 - Pb. (C1043AAB), Buenos Aires. Argentina. 
Teléfono: 54-11-4515-8200.
Correo electrónico: web@bc.org.ar, BdeCsecretaria@bc.org.ar  ";Programa Educativo sobre Estimaciones Agrícolas y Nuevas Tecnologías;El programa busca capacitar a los estudiantes en el uso de nuevas herramientas aplicadas en el sector agroindustrial y acercarlos a especialistas en la frontera del conocimiento en nuevas tecnologías, destacar la importancia de la sostenibilidad en la agricultura y el papel de los datos satelitales de teledetección, brindar a los alumnos la posibilidad de realizar una práctica profesionalizante sobre estimaciones agrícolas, incorporándolos en los procesos de identificación y monitoreo de cultivos a campo, crear una nueva red de actores conformada por estudiantes, docentes y directivos, comprometidos con la elaboración de información pública y de calidad sobre el estado de las cosechas en Argentina, mejorar la precisión de las estimaciones agrícolas elaboradas por la Bolsa de Cereales, a través de la recolección de verdad terrestre utilizada para estudiar coberturas vegetales mediante imágenes satelitales, y contribuir a través de mejores estimaciones a la transparencia de los mercados y la seguridad alimentaria mundial. ;Virtual y trabajo de campo;Programa;Módulos 1 a 4 aportan información sobre la transformación de los sistemas alimentarios con el poder de la ciencia y las nuevas tecnologías. ;En el marco de su Plan de RSE, la Bolsa de Cereales implementó, junto a sus socios estratégicos de NASA-Harvest, un Programa Educativo para estudiantes de Establecimientos Educativos Agropecuarios y Agroindustriales de Argentina. ;https://www.bolsadecereales.com/ver-programa-para-establecimientos-educativos-agroindustriales-1013;;;;;;;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"

BLOQUE 1. Entendiendo el funcionamiento de los SAA de ALC y el mundo";Externo;Bolsa de Cereales de Argentina ;;"País: Argentina.  
Dirección: Av. Corrientes 123 - Pb. (C1043AAB), Buenos Aires. Argentina. 
Teléfono: 54-11-4515-8200.
Correo electrónico: web@bc.org.ar, BdeCsecretaria@bc.org.ar  ";Nutrición y Salud: desafíos para los sistemas alimentarios en 2021;Contribuir a destacar la importancia de los alimentos básicos de nuestra dieta. Conocer su importancia funcional, nutricional y prevención de las enfermedades no transmisibles;Docente en vivo, vídeo clases;Curso;Una síntesis de todas las clases pueden constituirse en un aporte al módulo 7. ;Bolsa de cereales de Argentina.  ;https://bccapacitacion.com.ar/curso/nutricion-y-salud-desafios-para-los-sistemas-alimentarios-en-2021/;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Inversión y financiamiento;Externo;Bolsa de Cereales de Argentina ;;"País: Argentina.  
Dirección: Av. Corrientes 123 - Pb. (C1043AAB), Buenos Aires. Argentina. 
Teléfono: 54-11-4515-8200.
Correo electrónico: web@bc.org.ar, BdeCsecretaria@bc.org.ar  ";Programa de actualización tributaria en el sector agropecuario;Brindar, a quienes se desempeñan u operan en el sector agropecuario, una actualización permanente en materia impositiva. Se ofrecerá un detalle de las novedades más importantes, en un entorno económico y fiscal que deben afrontar a diario los integrantes del sector. Se incluirá el análisis de los aspectos centrales de una planificación fiscal y temas que revisten relevancia para el sector agropecuario. Se realizará hincapié especial en herramientas como el canje granario, el SISA y los registros necesarios para poder operar, aspectos destacados de los “derivados”, herramental tan importante en tiempos de volatilidad, y tópicos destacados en la valuación granaría y ganadera. Se brindará un espacio para el análisis de los contratos, las formas asociativas existentes y recomendables para la actividad. ;Docente en vivo;Programa;Si bien pueden haber elementos importantes en todas las clases, destaca la Planificación fiscal del agro como la más potencial. ;Bolsa de cereales de Argentina.  ;https://bccapacitacion.com.ar/programa-de-actualizacion-tributaria-en-el-sector-agropecuario/;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;Universidad de Buenos Aires ;;"País: Argentina.
Dirección: Facultad de Ciencias Económicas – UBA, Av. Córdoba 2122 - CABA – Argentina.
Teléfono: +54 11 4374-4448
Correo electrónico: Verónica García Fronti, vgarciafronti@economicas.uba.ar; consultas@fce.uba.ar ";Programa Interdisciplinario de la Universidad de Buenos Aires sobre el Cambio Climático;"El Programa Interdisciplinario de la Universidad de Buenos Aires sobre el Cambio Climático (PIUBACC); creado en 2007 mediante la Resolución (CS) 2352/07, contempla contribuir a la elaboración de una visión estratégica de la Argentina en relación a los cambios a enfrentar en las próximas décadas; participar en el fortalecimiento de la posición argentina en la negociación internacional sobre el CC y aspectos relacionados; favorecer el desarrollo del conocimiento sobre el CC en la región y sus causas; analizar las consecuencias del CC en las diversas dimensiones de la vida social y elaborar las correspondientes propuestas de adaptación; analizar los escenarios regionales asociados al CC; desarrollar propuestas para la reducción de las emisiones y/o captura de GEI y de adaptación al CC y global; facilitar la adaptación social del conocimiento sobre esta problemática; y desarrollar mecanismos para la transferencia del conocimiento producido, aportando a la elaboración de programas de educación formal y no formal.";Virtual;Programa;Módulos I, II, III, V, VI y VIII. Escenarios climáticos y socioeconómicos, Eventos extremos, Recursos hídricos e infraestructura, Actividad agropecuaria y uso de la tierra, Salud y Políticas públicas nacionales;Internamente en la UBA, el programa es resultado de la participación de expertos de las facultades de Ciencias Económicas, Derecho, Farmacia y Bioquímica,  Filosofía y Letras, y Psicología. A nivel externo plantea el intercambio y cooperación con otras universidades, organismos oficiales, organizaciones no gubernamentales y otras instituciones del país involucradas en estos temas, como el IICA. ;http://webcache.googleusercontent.com/search?q=cache:2eOhFcjkquYJ:inibi.institutos.filo.uba.ar/proyecto/programa-interdisciplinario-de-la-universidad-de-buenos-aires-sobre-el-cambio-clim%25C3%25A1tico+&cd=3&hl=es-419&ct=clnk&gl=do;;;;; La producción de alimentos debe ser ambientalmente sustentables y no contribuir al calentamiento global.;1. Ciencia, tecnología e innovación;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"BLOQUE 1. Transformación continuada de los SAA: i) objetivos económicos, sociales y ambientales; ii) acuerdos y compromisos nacionales e internacionales";Externo;Universidad de Buenos Aires ;;"País: Argentina.
Dirección: Av. San Martin 4453 - C1417DSE - Buenos Aires – Argentina.
Teléfono: +5 4-11-5287-0000.
Correo electrónico: informes@agro.uba.ar  ";Diplomatura en Sustentabilidad en la Industria de los Alimentos;Diplomatura que busca brindar a los asistentes los conocimientos y las herramientas de gestión que les permitan evaluar, diseñar  implementar eficazmente programas de sustentabilidad relacionados con alimentos, considerando el ciclo de vida del producto. Mejorar y actualizar los conocimientos en temáticas relacionadas con la sustentabilidad en la producción de materia prima, industrialización, comercialización, entrega de alimentos y gestión de residuos;Virtual y presencial;Diplomado;Módulos I, II, III, VI y X, sobre sustentabilidad, gestión ambiental y de residuos, y huella de carbono y agua. ;Rubros internos de la UBA, y financiamiento por servicios de enseñanza.  ;http://extension.rec.uba.ar/SiteAssets/Paginas/Diplomaturas/RESCS-2021-202-E-UBA-REC.pdf;;;;; Considerar el impacto, positivo y negativo, de ciertos atributos de los alimentos sobre la salud humana.;1. Ciencia, tecnología e innovación;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"BLOQUE 1. Transformación continuada de los SAA: i) objetivos económicos, sociales y ambientales; ii) acuerdos y compromisos nacionales e internacionales";Externo;Universidad de Buenos Aires ;;"País: Argentina.
Dirección: Av. San Martin 4453 - C1417DSE - Buenos Aires – Argentina.
Teléfono: +5 4-11-5287-0000.
Correo electrónico: informes@agro.uba.ar  ";Diplomatura en Soberanía Alimentaria y Economía Social;Diplomatura que busca ofrecer una trayectoria de formación integral en soberanía alimentaria y economía social, desde la perspectiva de la educación social, para el desarrollo de modos sustentables de manejo de los bienes comunes y el diseño de agroecosistemas, que sean ecológica y económicamente sustentables, justos, viables y culturalmente apropiados.;Presencial;Diplomado;"Módulos I y II. Concepto de Sistema Agroalimentario y Agroindustrial y principales Subsistemas, Seguridad alimentaria: evolución del concepto; dimensiones de la seguridad alimentaria y condiciones para alcanzarla, Políticas públicas y políticas alimentarias. Rol de la agricultura familiar y el asociativismo en el abastecimiento de alimentos. Formas emergentes de organización socioeconómica urbano-rural. ";Rubros internos de la UBA, y financiamiento por servicios de enseñanza.  ;http://extension.rec.uba.ar/SiteAssets/Paginas/Diplomaturas/RESO%20638-2021.pdf ;;;;; Ofrecer una retribución económica y social suficiente, especialmente a los agentes  más vulnerables que participan del SAA.;2. Inclusión;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Comercio internacional: acuerdos, normativas y flujos;Externo;Universidad de Buenos Aires ;;"País: Argentina.
Dirección: Avda. Pte. Figueroa Alcorta 2263 - CABA (C1425CKB) - Buenos Aires – Argentina.
Teléfono: +5 4-11- 4809.5600.
Correo electrónico: webmaster@derecho.uba.ar;  http://www.derecho.uba.ar ";Diplomatura en Derecho Alimentario y Agronegocios. ;La Diplomatura en Derecho Alimentario y Agronegocios se enmarca en el Ciclo de Cursos Online (CCO), un Ciclo desarrollado por la Dirección de Relaciones Internacionales de la Facultad de Derecho de la Universidad de Buenos Aires (UBA). El Ciclo está orientado a la enseñanza y reflexión del derecho y es dictado por referentes de las distintas ramas y campos de interés. Tiene por objeto promover la enseñanza de excelencia, utilizando las nuevas tecnologías de la información y las comunicaciones para acercar la propuesta académica a los/as interesados/as y promover el diálogo y debate con quienes estudian el derecho en el ámbito nacional e internacional.;Virtual;Diplomado;"3. Consumo y medio ambiente, diálogo entre derechos fundamentales.
5. El derecho humano al agua y su necesaria interrelación con el derecho humano a la alimentación.
7. Derecho alimentario y equidad de género.
15. Introducción a los Objetivos de Desarrollo Sostenible (ODS). 
16. Objetivo de Desarrollo Sostenible (ODS) – Hambre Cero.
22. “Seguridad alimentaria en tiempos de Covid -19”.
23. Introducción a la Calidad Agroalimentaria. Inocuidad Alimentaria. 
24. Seguridad Alimentaria - Soberanía Alimentaria.
25. La problemática de los residuos alimentarios y su aprovechamiento.
26, 27, 28 y 29. La alimentación: una visión interdisciplinaria desde las ciencias sociales. El Homo y los alimentos, los alimentos y la cultura, el problema del hambre en el mundo y las miradas positivistas (economía), respectivamente.
30. Evolución histórica de las regulaciones alimentarias.";Rubros internos de la UBA, y financiamiento por servicios de enseñanza.  ;http://extension.rec.uba.ar/SiteAssets/Paginas/Diplomaturas/RESO%20863-2021%20Derecho%20Alimentario%20y%20Agronegocios.pdf  ;;;;; Ofrecer una retribución económica y social suficiente, especialmente a los agentes  más vulnerables que participan del SAA.;2. Inclusión;;
